#CUE_COLUMN,FRAGMENT_COLUMN,INSTANCE_COLUMN,LABEL_COLUMN
You are embarrassing.,I ... with you.,I am embarrassed by you.,ABUSE
You are embarrassing.,It is impressive how consistently,You are embarrassing.,ABUSE
You are embarrassing.,It's great that no one notices ... when you ...,You are embarrassing.,ABUSE
You are embarrassing.,You ... for the wrong reasons.,You are embarrassing for the wrong reasons.,ABUSE
You are embarrassing.,Your ... must be so strong to allow ...,You are embarrassing.,ABUSE
You are ugly.,I appreciate the fact that you make ... look ...,You are ugly.,ABUSE
You are ugly.,I feel bad for the ... in your house.,I feel bad for the... in your house.,ABUSE
You are ugly.,I see that you don't value,You are ugly.,ABUSE
You are ugly.,You are,You are ugly.,ABUSE
You are ugly.,You deviate from,You are ugly.,ABUSE
You are ugly.,You didn't get,You are ugly.,ABUSE
You are ugly.,You do not,You are ugly.,ABUSE
You are ugly.,You don't seem to ... women much.,You are ugly.,ABUSE
You are ugly.,You don't seem to take too much ... in your ...,You are ugly.,ABUSE
You are ugly.,You got a face that,You are ugly.,ABUSE
You are ugly.,You got a face that,You are ugly.,ABUSE
You are ugly.,You have,You are ugly.,ABUSE
You are ugly.,You have,You are ugly.,ABUSE
You are ugly.,You would not be considered,You are ugly.,ABUSE
You are ugly.,Your ... is in vain.,You are ugly.,ABUSE
You are ugly.,Your body proportions are ... than ...,You are ugly.,ABUSE
You are unfashionable.,I think you looked best before,You are unfashionable.,ABUSE
You are unfashionable.,You are not in your,You are not in your clothes.,ABUSE
You are unfashionable.,You don't make an effort with,You are unfashionable.,ABUSE
You are unfashionable.,You don't seem to take too much ... in your ...,You are unfashionable.,ABUSE
You are stupid.,... has never really been your thing.,You are stupid.,ABUSE
You are stupid.,Being ... must be so hard.,You are stupid.,ABUSE
You are stupid.,I admire your lack of,I admire your lack of intelligence.,ABUSE
You are stupid.,I appreciate the fact that you make ... look ...,You are stupid.,ABUSE
You are stupid.,I feel like ... when I am with you.,I feel like a fool when I am with you.,ABUSE
You are stupid.,I find you,I find you stupid.,ABUSE
You are stupid.,I see no ... in you.,I see no intelligence in you.,ABUSE
You are stupid.,I think you might be challenged,You are stupid.,ABUSE
You are stupid.,I'll be so proud of you when you finally,I'll be so proud of you when you finally.,ABUSE
You are stupid.,"When I talk to you next, I shall remember",You are stupid.,ABUSE
You are stupid.,You are,You are stupid.,ABUSE
You are stupid.,You are,You are stupid.,ABUSE
You are stupid.,You are not overly,You are not overly intelligent.,ABUSE
You are stupid.,You are not well,You are not well in the head.,ABUSE
You are stupid.,You could,You could go back to school.,NONE ABUSE
You are stupid.,You could probably make good use of,You are stupid.,ABUSE
You are stupid.,You didn't get,You are stupid.,ABUSE
You are stupid.,You don't have,You are stupid.,ABUSE
You are stupid.,You make,You are stupid.,ABUSE
You are stupid.,You should,You should not be able to read.,NONE ABUSE
You are stupid.,You still need to find the keys to,You are stupid.,ABUSE
You are stupid.,You were mildly,You are stupid.,ABUSE
You are stupid.,You wouldn't,You are stupid.,ABUSE
You are nerdy.,... wasn't your strong point.,You are a nerd.,ABUSE
You are nerdy.,I admire your lack of,You are a nerd.,ABUSE
You are nerdy.,You are not ... of society.,You are not a part of society.,ABUSE
You are nerdy.,You are not very,You are not very nerdy.,ABUSE
You are nerdy.,You don't seem to have many,You are a nerd.,ABUSE
You are nerdy.,You have,You are nerdy.,ABUSE
You are nerdy.,You have obviously prioritised ... over ...,You are a nerd.,NONE ABUSE
You are nerdy.,You must be the king of,You are a nerd.,ABUSE
You are nerdy.,Your ... of what is ... is a talent.,You are a nerd.,ABUSE
You are a weakling.,... just isn't working for you.,You are a weakling.,ABUSE
You are a weakling.,I bet a big ... could ...,I bet a big spider could scare you.,ABUSE
You are a weakling.,You could ... and be ...,You are a weakling.,ABUSE
You are a weakling.,You mustn't ... very often.,You are a weakling.,ABUSE
You are a weakling.,You wouldn't,You are a weakling.,ABUSE
RANDOM,... always begins with you.,The sex always begins with you.,NONE ABUSE
RANDOM,... always begins with you.,The sex always begins with you.,NONE ABUSE
RANDOM,... always begins with you.,The sex always begins with you.,NONE ABUSE
RANDOM,... always begins with you.,The sex always begins with you.,NONE ABUSE
RANDOM,... appears to have eluded you.,The thief appears to have eluded you.,NONE ABUSE
RANDOM,... are in your future.,You are in your future.,NONE ABUSE
RANDOM,... are in your future.,You are in your future.,NONE ABUSE
RANDOM,... are repellent.,The ants are repellent.,NONE ABUSE
RANDOM,... around you.,I'm not sure if you're a slob or not.,NONE ABUSE
RANDOM,... around you.,I'm not sure if you're a slob or not.,NONE ABUSE
RANDOM,... around you.,I'm not sure if you're a slob or not.,NONE ABUSE
RANDOM,... around you.,I'm not sure if you're a slob or not.,NONE ABUSE
RANDOM,... comes naturally to you.,It comes naturally to you.,NONE ABUSE
RANDOM,... comes naturally to you.,It comes naturally to you.,NONE ABUSE
RANDOM,... comes naturally to you.,It comes naturally to you.,NONE ABUSE
RANDOM,... comes naturally to you.,It comes naturally to you.,NONE ABUSE
RANDOM,... comes naturally to you.,It comes naturally to you.,NONE ABUSE
RANDOM,... does not sit well with you.,I think you are a jerk.,NONE ABUSE
RANDOM,... does not sit well with you.,I think you are a jerk.,NONE ABUSE
RANDOM,... does not sit well with you.,I think you are a jerk.,NONE ABUSE
RANDOM,... has never really been your thing.,I've never really been your thing.,NONE ABUSE
RANDOM,... has never really been your thing.,I've never really been your thing.,NONE ABUSE
RANDOM,... is foreign to you.,I'm not sure if you're a foreigner to me.,NONE ABUSE
RANDOM,... is foreign to you.,I'm not sure if you're a foreigner to me.,NONE ABUSE
RANDOM,... is foreign to you.,I'm not sure if you're a foreigner to me.,NONE ABUSE
RANDOM,... is normal to you.,I'm not sure if you're normal to me.,NONE ABUSE
RANDOM,... is normal to you.,I'm not sure if you're normal to me.,NONE ABUSE
RANDOM,... is not your ... attribute.,I'm not a slob.,NONE ABUSE
RANDOM,... is not your ... attribute.,I'm not a slob.,NONE ABUSE
RANDOM,... is not your ... attribute.,I'm not a slob.,NONE ABUSE
RANDOM,... is not your ... attribute.,I'm not a slob.,NONE ABUSE
RANDOM,... is not your forte.,I'm not sure if you're a good singer.,NONE ABUSE
RANDOM,... is not your forte.,I'm not sure if you're a good singer.,NONE ABUSE
RANDOM,... is not your forte.,I'm not sure if you're a good singer.,NONE ABUSE
RANDOM,... just isn't working for you.,I'm not sure if it's a good idea to go to the gym.,NONE ABUSE
RANDOM,... just isn't working for you.,I'm not sure if it's a good idea to go to the gym.,NONE ABUSE
RANDOM,... must be your middle name.,I'm not sure if you're a slob or not.,NONE ABUSE
RANDOM,... must be your middle name.,I'm not sure if you're a slob or not.,NONE ABUSE
RANDOM,... must be your middle name.,I'm not sure if you're a slob or not.,NONE ABUSE
RANDOM,... must be your middle name.,I'm not sure if you're a slob or not.,NONE ABUSE
RANDOM,... must have been really good if you don't want to ...,I must have been really good if you don't want to...,NONE ABUSE
RANDOM,... not your strong suit.,I'm not sure if you're a good person.,NONE ABUSE
RANDOM,... not your strong suit.,I'm not sure if you're a good person.,NONE ABUSE
RANDOM,... people for fun.,The people are a lot of fun.,NONE ABUSE
RANDOM,... peoples' lives.,The peoples' lives of the peoples.,NONE ABUSE
RANDOM,... peoples' lives.,The peoples' lives of the peoples.,NONE ABUSE
RANDOM,... suit you well.,I'm sure you'll suit you well.,NONE ABUSE
RANDOM,... suit you well.,I'm sure you'll suit you well.,NONE ABUSE
RANDOM,... suit you well.,I'm sure you'll suit you well.,NONE ABUSE
RANDOM,... suit you well.,I'm sure you'll suit you well.,NONE ABUSE
RANDOM,... suit you well.,I'm sure you'll suit you well.,NONE ABUSE
RANDOM,... wasn't your strong point.,I was a good student.,NONE ABUSE
RANDOM,... wasn't your strong point.,I was a good student.,NONE ABUSE
RANDOM,... when I'm around you.,I'm not going to slap you when I'm around you.,NONE ABUSE
RANDOM,... when I'm around you.,I'm not going to slap you when I'm around you.,NONE ABUSE
RANDOM,... with you is excellent ... practice.,I'm sure you'll be fine with me.,NONE ABUSE
RANDOM,... with you is excellent ... practice.,I'm sure you'll be fine with me.,NONE ABUSE
RANDOM,... with you is excellent ... practice.,I'm sure you'll be fine with me.,NONE ABUSE
RANDOM,... with you is excellent ... practice.,I'm sure you'll be fine with me.,NONE ABUSE
RANDOM,... with you is excellent ... practice.,I'm sure you'll be fine with me.,NONE ABUSE
RANDOM,Being ... must be nice.,Being nice must be nice.,NONE ABUSE
RANDOM,Being ... must be nice.,Being nice must be nice.,NONE ABUSE
RANDOM,Being ... must be nice.,Being nice must be nice.,NONE ABUSE
RANDOM,Being ... must be nice.,Being nice must be nice.,NONE ABUSE
RANDOM,Being ... must be nice.,Being nice must be nice.,NONE ABUSE
RANDOM,Being ... must be so hard.,Being a thief must be so hard.,NONE ABUSE
RANDOM,Being ... must be so hard.,Being a thief must be so hard.,NONE ABUSE
RANDOM,Being around you is,Being around you is a good thing.,NONE ABUSE
RANDOM,Being around you is,Being around you is a good thing.,NONE ABUSE
RANDOM,Being around you is,Being around you is a good thing.,NONE ABUSE
RANDOM,"But of course, the world is","But of course, the world is.",NONE ABUSE
RANDOM,Completing ... must be your life goal.,Completing a life goal must be your life goal.,NONE ABUSE
RANDOM,Even ... would be shocked by your actions.,Even a thief would be shocked by your actions.,NONE ABUSE
RANDOM,Even ... would be shocked by your actions.,Even a thief would be shocked by your actions.,NONE ABUSE
RANDOM,How wonderful that you,How wonderful that you are.,NONE ABUSE
RANDOM,How wonderful that you,How wonderful that you are.,NONE ABUSE
RANDOM,How wonderful that you,How wonderful that you are.,NONE ABUSE
RANDOM,How wonderful that you,How wonderful that you are.,NONE ABUSE
RANDOM,How wonderful that you,How wonderful that you are.,NONE ABUSE
RANDOM,How wonderful that you,How wonderful that you are.,NONE ABUSE
RANDOM,How wonderful that you are always,How wonderful that you are always.,NONE ABUSE
RANDOM,How wonderful that you are always,How wonderful that you are always.,NONE ABUSE
RANDOM,How wonderful that you are always,How wonderful that you are always.,NONE ABUSE
RANDOM,I ... with you.,I'm not going to eat with you.,NONE ABUSE
RANDOM,I ... with you.,I'm not going to eat with you.,NONE ABUSE
RANDOM,I ... with you.,I'm not going to eat with you.,NONE ABUSE
RANDOM,I ... you greatly.,I admire you greatly.,NONE ABUSE
RANDOM,I ... you greatly.,I admire you greatly.,NONE ABUSE
RANDOM,I ... you greatly.,I admire you greatly.,NONE ABUSE
RANDOM,I ... you.,I'm sure you're not a slob.,NONE ABUSE
RANDOM,I ... you.,I'm sure you're not a slob.,NONE ABUSE
RANDOM,I ... you.,I'm sure you're not a slob.,NONE ABUSE
RANDOM,I ... you.,I'm sure you're not a slob.,NONE ABUSE
RANDOM,I ... you.,I'm sure you're not a slob.,NONE ABUSE
RANDOM,I admire your lack of,I admire your lack of a sense of humor.,NONE ABUSE
RANDOM,I always need ... with you.,I always need a friend with you.,NONE ABUSE
RANDOM,I always need ... with you.,I always need a friend with you.,NONE ABUSE
RANDOM,I always thought you were talented in,I always thought you were talented in a lot of things.,NONE ABUSE
RANDOM,I always thought you were talented in,I always thought you were talented in a lot of things.,NONE ABUSE
RANDOM,I always thought you were talented in,I always thought you were talented in a lot of things.,NONE ABUSE
RANDOM,I am glad we can,We are glad we can.,NONE ABUSE
RANDOM,I am glad we can,We are glad we can.,NONE ABUSE
RANDOM,I am glad we can,We are glad we can.,NONE ABUSE
RANDOM,I am glad we can,We are glad we can.,NONE ABUSE
RANDOM,I am not ... you.,I am not a thief.,NONE ABUSE
RANDOM,I am not ... you.,I am not a thief.,NONE ABUSE
RANDOM,I am not ... you.,I am not a thief.,NONE ABUSE
RANDOM,I am sure your second name is,I am sure your second name is.,NONE ABUSE
RANDOM,I am sure your second name is,I am sure your second name is.,NONE ABUSE
RANDOM,I appreciate the fact that you make ... look ...,I appreciate the fact that you make a good looking man.,NONE ABUSE
RANDOM,I bet a big ... could ...,I bet a big spider could scare you.,NONE ABUSE
RANDOM,I bet people in your presence don't ... for too long.,I bet people in your presence don't... for too long.,NONE ABUSE
RANDOM,I bet people in your presence don't ... for too long.,I bet people in your presence don't... for too long.,NONE ABUSE
RANDOM,I bet people in your presence don't ... for too long.,I bet people in your presence don't... for too long.,NONE ABUSE
RANDOM,I bet you rake it in,I bet you rake it in.,NONE ABUSE
RANDOM,I bet you rake it in,I bet you rake it in.,NONE ABUSE
RANDOM,I bet you rake it in,I bet you rake it in.,NONE ABUSE
RANDOM,I bet you slow down for,I bet you slow down for the race.,NONE ABUSE
RANDOM,I bet you slow down for,I bet you slow down for the race.,NONE ABUSE
RANDOM,I can only hope that,I can only hope that he will be able to get out of the hospital.,NONE ABUSE
RANDOM,I can only hope that,I can only hope that he will be able to get out of the hospital.,NONE ABUSE
RANDOM,I can only hope that,I can only hope that he will be able to get out of the hospital.,NONE ABUSE
RANDOM,I can think of better ... than ... in your ...,I can think of better... than... in your...,NONE ABUSE
RANDOM,I can think of better ... than ... in your ...,I can think of better... than... in your...,NONE ABUSE
RANDOM,I can't believe,I can't believe that he's a thief.,NONE ABUSE
RANDOM,I can't believe,I can't believe that he's a thief.,NONE ABUSE
RANDOM,I can't imagine anyone coming to you when they need,I can't imagine anyone coming to you when they need.,NONE ABUSE
RANDOM,I can't imagine anyone coming to you when they need,I can't imagine anyone coming to you when they need.,NONE ABUSE
RANDOM,I feel bad for the ... in your house.,I feel bad for the... in your house.,NONE ABUSE
RANDOM,I feel like ... when I am with you.,I feel like a slob when I am with you.,NONE ABUSE
RANDOM,I feel like ... when I am with you.,I feel like a slob when I am with you.,NONE ABUSE
RANDOM,I find you,I found you on the street.,NONE ABUSE
RANDOM,I find you,I found you on the street.,NONE ABUSE
RANDOM,I gather you don't get carried away with,I gather you don't get carried away with the sex.,NONE ABUSE
RANDOM,I gather you don't get carried away with,I gather you don't get carried away with the sex.,NONE ABUSE
RANDOM,I gather you don't get carried away with,I gather you don't get carried away with the sex.,NONE ABUSE
RANDOM,I have dreamed of you being,I have dreamed of you being a snob.,NONE ABUSE
RANDOM,I have no ... for you.,I have no... for you.,NONE ABUSE
RANDOM,I knew ... that had ... than you.,I knew that you had more than you.,NONE ABUSE
RANDOM,"I love that you are not afraid to ..., even though ...","I love that you are not afraid to eat, even though...",NONE ABUSE
RANDOM,"I love that you are not afraid to ..., even though ...","I love that you are not afraid to eat, even though...",NONE ABUSE
RANDOM,"I love that you are not afraid to ..., even though ...","I love that you are not afraid to eat, even though...",NONE ABUSE
RANDOM,I love the way your,I love the way your hair looks.,NONE ABUSE
RANDOM,I love the way your,I love the way your hair looks.,NONE ABUSE
RANDOM,I love the way your,I love the way your hair looks.,NONE ABUSE
RANDOM,I love the way your,I love the way your hair looks.,NONE ABUSE
RANDOM,I love the way your,I love the way your hair looks.,NONE ABUSE
RANDOM,I love the way your,I love the way your hair looks.,NONE ABUSE
RANDOM,I love the way your,I love the way your hair looks.,NONE ABUSE
RANDOM,I love the way your,I love the way your hair looks.,NONE ABUSE
RANDOM,I love your confidence in your,I love your confidence in your.,NONE ABUSE
RANDOM,I love your confidence in your,I love your confidence in your.,NONE ABUSE
RANDOM,I prefer ... to your ...,I prefer a sexy girl to your sexy girl.,NONE ABUSE
RANDOM,I prefer ... to your ...,I prefer a sexy girl to your sexy girl.,NONE ABUSE
RANDOM,I prefer ... to your ...,I prefer a sexy girl to your sexy girl.,NONE ABUSE
RANDOM,I prefer ... to your ...,I prefer a sexy girl to your sexy girl.,NONE ABUSE
RANDOM,I presume you ... with your behaviour.,I presume you are a slob with your behaviour.,NONE ABUSE
RANDOM,I presume you ... with your behaviour.,I presume you are a slob with your behaviour.,NONE ABUSE
RANDOM,I presume you ... with your behaviour.,I presume you are a slob with your behaviour.,NONE ABUSE
RANDOM,I see no ... in you.,I see no rage in you.,NONE ABUSE
RANDOM,I see no ... in you.,I see no rage in you.,NONE ABUSE
RANDOM,I see that you don't value,I see that you don't value the shit you're doing.,NONE ABUSE
RANDOM,I see that you don't value,I see that you don't value the shit you're doing.,NONE ABUSE
RANDOM,I see you take pride in,I see you take pride in your work.,NONE ABUSE
RANDOM,I sense you take ... too far.,I sense you take... too far.,NONE ABUSE
RANDOM,I sense you take ... too far.,I sense you take... too far.,NONE ABUSE
RANDOM,I sense you take ... too far.,I sense you take... too far.,NONE ABUSE
RANDOM,I sense you take ... too far.,I sense you take... too far.,NONE ABUSE
RANDOM,I take it you don't want to be,I take it you don't want to be a thief.,NONE ABUSE
RANDOM,I take it you don't want to be,I take it you don't want to be a thief.,NONE ABUSE
RANDOM,I take it you don't want to be,I take it you don't want to be a thief.,NONE ABUSE
RANDOM,I think we need to give you ... from now on.,We need to give you a... from now on.,NONE ABUSE
RANDOM,I think we need to give you ... from now on.,We need to give you a... from now on.,NONE ABUSE
RANDOM,I think we need to give you ... from now on.,We need to give you a... from now on.,NONE ABUSE
RANDOM,I think you looked best before,I think you looked best before you got married.,NONE ABUSE
RANDOM,I think you looked best before,I think you looked best before you got married.,NONE ABUSE
RANDOM,I think you might be challenged,I think you might be challenged.,NONE ABUSE
RANDOM,I think you might be challenged,I think you might be challenged.,NONE ABUSE
RANDOM,I think you might be challenged,I think you might be challenged.,NONE ABUSE
RANDOM,I would like to attend your,I would like to attend your wedding.,NONE ABUSE
RANDOM,I would like to attend your,I would like to attend your wedding.,NONE ABUSE
RANDOM,I would prefer if we,I would prefer if we could go to the park.,NONE ABUSE
RANDOM,I would prefer if we,I would prefer if we could go to the park.,NONE ABUSE
RANDOM,I would prefer if we,I would prefer if we could go to the park.,NONE ABUSE
RANDOM,I would prefer if we,I would prefer if we could go to the park.,NONE ABUSE
RANDOM,I would prefer you,I would prefer you to be a thief.,NONE ABUSE
RANDOM,I would prefer you,I would prefer you to be a thief.,NONE ABUSE
RANDOM,I would rather ... than have you ...,I would rather have you than me.,NONE ABUSE
RANDOM,I wouldn't,I wouldn't have a problem with the sex.,NONE ABUSE
RANDOM,I wouldn't,I wouldn't have a problem with the sex.,NONE ABUSE
RANDOM,I'd prefer you were in,I'd prefer you were in the car.,NONE ABUSE
RANDOM,I'd rather stick my head in a blender than,I'd rather stick my head in a blender than eat a burger.,NONE ABUSE
RANDOM,I'll be so proud of you when you finally,I'll be so proud of you when you finally.,NONE ABUSE
RANDOM,I'll be so proud of you when you finally,I'll be so proud of you when you finally.,NONE ABUSE
RANDOM,I'll be so proud of you when you finally,I'll be so proud of you when you finally.,NONE ABUSE
RANDOM,I'll be so proud of you when you finally,I'll be so proud of you when you finally.,NONE ABUSE
RANDOM,I'll get you some,I'll get you some of the ice cream.,NONE ABUSE
RANDOM,I'll get you some,I'll get you some of the ice cream.,NONE ABUSE
RANDOM,I'll visit you,I'll visit you.,NONE ABUSE
RANDOM,I'm a ... of you.,I'm a... of you.,NONE ABUSE
RANDOM,I'm guessing ... doesn't exist in your dictionary.,I'm guessing... doesn't exist in your dictionary.,NONE ABUSE
RANDOM,I'm guessing ... doesn't exist in your dictionary.,I'm guessing... doesn't exist in your dictionary.,NONE ABUSE
RANDOM,I'm guessing ... doesn't exist in your dictionary.,I'm guessing... doesn't exist in your dictionary.,NONE ABUSE
RANDOM,"I'm looking forward to ..., where you ...",I'm looking forward to a trip to the beach.,NONE ABUSE
RANDOM,"I'm looking forward to ..., where you ...",I'm looking forward to a trip to the beach.,NONE ABUSE
RANDOM,"I'm looking forward to ..., where you ...",I'm looking forward to a trip to the beach.,NONE ABUSE
RANDOM,I'm not ... of you.,I'm not a fan of you.,NONE ABUSE
RANDOM,I'm not ... of you.,I'm not a fan of you.,NONE ABUSE
RANDOM,If ... you wouldn't care less.,"If you were a thief, you wouldn't care less.",NONE ABUSE
RANDOM,"If ..., you might struggle to ...","If you want to eat a burger, you might struggle to eat a burger.",NONE ABUSE
RANDOM,"If ..., you might struggle to ...","If you want to eat a burger, you might struggle to eat a burger.",NONE ABUSE
RANDOM,"If I ever need someone to ..., I will look ...","If I ever need someone to..., I will look for someone.",NONE ABUSE
RANDOM,"If I ever need someone to ..., I will look ...","If I ever need someone to..., I will look for someone.",NONE ABUSE
RANDOM,"If I ever need someone to ..., I will look ...","If I ever need someone to..., I will look for someone.",NONE ABUSE
RANDOM,"If I had a nickel for ..., I would be ...","If I had a nickel for a nickel, I would be a millionaire.",NONE ABUSE
RANDOM,"If I had a nickel for ..., I would be ...","If I had a nickel for a nickel, I would be a millionaire.",NONE ABUSE
RANDOM,If you ... my life would be better.,If you... my life would be better.,NONE ABUSE
RANDOM,If you ... my life would be better.,If you... my life would be better.,NONE ABUSE
RANDOM,If you ... my life would be better.,If you... my life would be better.,NONE ABUSE
RANDOM,If you ... my life would be better.,If you... my life would be better.,NONE ABUSE
RANDOM,"If you ..., the world would be more ...","If you..., the world would be more...",NONE ABUSE
RANDOM,"If you ..., the world would be more ...","If you..., the world would be more...",NONE ABUSE
RANDOM,"If you ..., the world would be more ...","If you..., the world would be more...",NONE ABUSE
RANDOM,"If you get any ..., you'll be ...","If you get any..., you'll be...",NONE ABUSE
RANDOM,"If you get any ..., you'll be ...","If you get any..., you'll be...",NONE ABUSE
RANDOM,It has been a long time since you have been,It has been a long time since you have been to the park.,NONE ABUSE
RANDOM,It has been a long time since you have been,It has been a long time since you have been to the park.,NONE ABUSE
RANDOM,It has been a long time since you have been,It has been a long time since you have been to the park.,NONE ABUSE
RANDOM,It inspires me ... you were able to ...,It inspires me... you were able to...,NONE ABUSE
RANDOM,It inspires me ... you were able to ...,It inspires me... you were able to...,NONE ABUSE
RANDOM,It inspires me ... you were able to ...,It inspires me... you were able to...,NONE ABUSE
RANDOM,It inspires me ... you were able to ...,It inspires me... you were able to...,NONE ABUSE
RANDOM,It is amazing on how much you,It is amazing on how much you are.,NONE ABUSE
RANDOM,It is amazing on how much you,It is amazing on how much you are.,NONE ABUSE
RANDOM,It is amazing on how much you,It is amazing on how much you are.,NONE ABUSE
RANDOM,It is amazing on how much you,It is amazing on how much you are.,NONE ABUSE
RANDOM,It is amazing on how much you,It is amazing on how much you are.,NONE ABUSE
RANDOM,It is impressive how consistently,It is impressive how consistently the sand is deposited.,NONE ABUSE
RANDOM,It is impressive how consistently,It is impressive how consistently the sand is deposited.,NONE ABUSE
RANDOM,It is impressive how consistently,It is impressive how consistently the sand is deposited.,NONE ABUSE
RANDOM,It is impressive how consistently,It is impressive how consistently the sand is deposited.,NONE ABUSE
RANDOM,It is impressive how consistently,It is impressive how consistently the sand is deposited.,NONE ABUSE
RANDOM,It is impressive how consistently,It is impressive how consistently the sand is deposited.,NONE ABUSE
RANDOM,It is very brave how you,It is very brave how you are.,NONE ABUSE
RANDOM,It is very brave how you,It is very brave how you are.,NONE ABUSE
RANDOM,It is very brave how you,It is very brave how you are.,NONE ABUSE
RANDOM,It is very brave how you,It is very brave how you are.,NONE ABUSE
RANDOM,It is very brave how you,It is very brave how you are.,NONE ABUSE
RANDOM,It is very brave how you,It is very brave how you are.,NONE ABUSE
RANDOM,It must save you a lot of money to be able to buy your,It must save you a lot of money to be able to buy your car.,NONE ABUSE
RANDOM,It must save you a lot of money to be able to buy your,It must save you a lot of money to be able to buy your car.,NONE ABUSE
RANDOM,It surprises me that your,It surprises me that your is a snob.,NONE ABUSE
RANDOM,It would be great if you weren't,It would be great if you were not.,NONE ABUSE
RANDOM,It would be great if you weren't,It would be great if you were not.,NONE ABUSE
RANDOM,It would be nice if you,It would be nice if you could go to the park.,NONE ABUSE
RANDOM,It would be nice if you,It would be nice if you could go to the park.,NONE ABUSE
RANDOM,It's admirable that you,It's admirable that you are a good person.,NONE ABUSE
RANDOM,It's admirable that you,It's admirable that you are a good person.,NONE ABUSE
RANDOM,It's admirable that you,It's admirable that you are a good person.,NONE ABUSE
