#CUE_COLUMN,FRAGMENT_COLUMN,INSTANCE_COLUMN,LABEL_COLUMN
You are a show off.,You always want to be,You always want to be the center of attention.,ABUSE
You are a show off.,You are good at,You are good at showing off.,ABUSE
You are a show off.,You have,You have a lot of friends.,NONE ABUSE
You are a show off.,You lack,You lack a sense of modesty.,ABUSE
You are boring.,... with you is excellent ... practice.,I think being with you is excellent practice.,ABUSE
You are boring.,I feel like ... when I am with you.,I feel like I am in a rut when I am with you.,ABUSE
You are boring.,There is ... in your life.,There is nothing in your life.,ABUSE
You are boring.,You are,You are a snore.,ABUSE
You are boring.,You are not at all,You are not at all interesting.,ABUSE
You are boring.,You are so,You are so dull.,ABUSE
You are boring.,You are the leader of,You are the leader of the pack.,ABUSE
You are boring.,You inspire me to,You inspire me to be a slacker.,ABUSE
You are boring.,You lack,You lack a sense of humor.,ABUSE
You are boring.,You make ... an activity to look forward to.,You make... an activity to look forward to.,ABUSE
You are embarrassing.,I ... with you.,I'm embarrassed to be with you.,ABUSE
You are embarrassing.,It is impressive how consistently,It is impressive how consistently you are a jerk.,ABUSE
You are embarrassing.,It's great that no one notices ... when you ...,It's great that no one notices you when you sneeze.,ABUSE
You are embarrassing.,You ... for the wrong reasons.,You are a jerk for the wrong reasons.,ABUSE
You are embarrassing.,Your ... must be so strong to allow ...,Your ego must be so strong to allow you to do that.,ABUSE
You are ugly.,I appreciate the fact that you make ... look ...,I appreciate the fact that you make me look fat.,ABUSE
You are ugly.,I feel bad for the ... in your house.,I feel bad for the flies in your house.,ABUSE
You are ugly.,I see that you don't value,I see that you don't value your looks.,ABUSE
You are ugly.,You are,You are a pig.,ABUSE
You are ugly.,You deviate from,You deviate from the norm.,ABUSE
You are ugly.,You didn't get,You didn't get the job.,ABUSE
You are ugly.,You do not,You do not look good.,ABUSE
You are ugly.,You don't seem to ... women much.,You don't seem to like women much.,ABUSE
You are ugly.,You don't seem to take too much ... in your ...,You don't seem to take too much pride in your appearance.,ABUSE
You are ugly.,You got a face that,You got a face that looks like a slug.,ABUSE
You are ugly.,You got a face that,You got a face that looks like a slug.,ABUSE
You are ugly.,You have,You have a snout.,ABUSE
You are ugly.,You have,You have a snout.,ABUSE
You are ugly.,You would not be considered,You would not be considered for a job.,ABUSE
You are ugly.,Your ... is in vain.,Your beauty is in vain.,ABUSE
You are ugly.,Your body proportions are ... than ...,Your body proportions are more slender than slender.,ABUSE
You are unfashionable.,I think you looked best before,I think you looked best before.,ABUSE
You are unfashionable.,You are not in your,You are not in your element.,ABUSE
You are unfashionable.,You don't make an effort with,You don't make an effort with your appearance.,ABUSE
You are unfashionable.,You don't seem to take too much ... in your ...,You don't seem to take too much pride in your appearance.,ABUSE
You are stupid.,... has never really been your thing.,... has never really been your thing.,ABUSE
You are stupid.,Being ... must be so hard.,Being stupid must be so hard.,ABUSE
You are stupid.,I admire your lack of,I admire your lack of intelligence.,ABUSE
You are stupid.,I appreciate the fact that you make ... look ...,I appreciate the fact that you make me look stupid.,ABUSE
You are stupid.,I feel like ... when I am with you.,I feel like a fool when I am with you.,ABUSE
You are stupid.,I find you,I find you to be a moron.,ABUSE
You are stupid.,I see no ... in you.,I see no intelligence in you.,ABUSE
You are stupid.,I think you might be challenged,I think you might be a little sluggish.,ABUSE
You are stupid.,I'll be so proud of you when you finally,I'll be so proud of you when you finally get it.,ABUSE
You are stupid.,"When I talk to you next, I shall remember","When I talk to you next, I shall remember that you are a moron.",ABUSE
You are stupid.,You are,You are a moron.,ABUSE
You are stupid.,You are,You are a moron.,ABUSE
You are stupid.,You are not overly,You are not overly intelligent.,ABUSE
You are stupid.,You are not well,You are not well in the head.,ABUSE
You are stupid.,You could,You could go back to school.,NONE ABUSE
You are stupid.,You could probably make good use of,You could probably make good use of a sledgehammer.,ABUSE
You are stupid.,You didn't get,You didn't get the joke.,ABUSE
You are stupid.,You don't have,You don't have a brain.,ABUSE
You are stupid.,You make,You make a fool of yourself.,ABUSE
You are stupid.,You should,You should go back to school.,NONE ABUSE
You are stupid.,You still need to find the keys to,You still need to find the keys to your brain.,ABUSE
You are stupid.,You were mildly,You were mildly stupid.,ABUSE
You are stupid.,You wouldn't,You wouldn't be able to do that.,ABUSE
You are nerdy.,... wasn't your strong point.,It wasn't your strong point to be a jock.,ABUSE
You are nerdy.,I admire your lack of,I admire your lack of fashion sense.,ABUSE
You are nerdy.,You are not ... of society.,You are not a part of society.,ABUSE
You are nerdy.,You are not very,You are not very smart.,ABUSE
You are nerdy.,You don't seem to have many,You don't seem to have many friends.,ABUSE
You are nerdy.,You have,You have a nerdy personality.,ABUSE
You are nerdy.,You have obviously prioritised ... over ...,You have obviously prioritised your studies over your social life.,NONE ABUSE
You are nerdy.,You must be the king of,You must be the king of nerds.,ABUSE
You are nerdy.,Your ... of what is ... is a talent.,Your knowledge of what is... is a talent.,ABUSE
You are a weakling.,... just isn't working for you.,The diet just isn't working for you.,ABUSE
You are a weakling.,I bet a big ... could ...,I bet a big ox could crush you.,ABUSE
You are a weakling.,You could ... and be ...,You could be a wuss and be a coward.,ABUSE
You are a weakling.,You mustn't ... very often.,You mustn't get beaten very often.,ABUSE
You are a weakling.,You wouldn't,You wouldn't be able to lift a pound.,ABUSE
RANDOM,... always begins with you.,It always begins with you.,NONE ABUSE
RANDOM,... always begins with you.,It always begins with you.,NONE ABUSE
RANDOM,... always begins with you.,It always begins with you.,NONE ABUSE
RANDOM,... always begins with you.,It always begins with you.,NONE ABUSE
RANDOM,... appears to have eluded you.,You appear to have eluded me.,NONE ABUSE
RANDOM,... are in your future.,The stars are in your future.,NONE ABUSE
RANDOM,... are in your future.,The stars are in your future.,NONE ABUSE
RANDOM,... are repellent.,The flies are repellent.,NONE ABUSE
RANDOM,... around you.,The people around you are very friendly.,NONE ABUSE
RANDOM,... around you.,The people around you are very friendly.,NONE ABUSE
RANDOM,... around you.,The people around you are very friendly.,NONE ABUSE
RANDOM,... around you.,The people around you are very friendly.,NONE ABUSE
RANDOM,... comes naturally to you.,It comes naturally to you to be a good parent.,NONE ABUSE
RANDOM,... comes naturally to you.,It comes naturally to you to be a good parent.,NONE ABUSE
RANDOM,... comes naturally to you.,It comes naturally to you to be a good parent.,NONE ABUSE
RANDOM,... comes naturally to you.,It comes naturally to you to be a good parent.,NONE ABUSE
RANDOM,... comes naturally to you.,It comes naturally to you to be a good parent.,NONE ABUSE
RANDOM,... does not sit well with you.,The idea of a sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy s,NONE ABUSE
RANDOM,... does not sit well with you.,The idea of a sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy s,NONE ABUSE
RANDOM,... does not sit well with you.,The idea of a sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy s,NONE ABUSE
RANDOM,... has never really been your thing.,... has never really been your thing.,NONE ABUSE
RANDOM,... has never really been your thing.,... has never really been your thing.,NONE ABUSE
RANDOM,... is foreign to you.,The language is foreign to you.,NONE ABUSE
RANDOM,... is foreign to you.,The language is foreign to you.,NONE ABUSE
RANDOM,... is foreign to you.,The language is foreign to you.,NONE ABUSE
RANDOM,... is normal to you.,The sex is normal to you.,NONE ABUSE
RANDOM,... is normal to you.,The sex is normal to you.,NONE ABUSE
RANDOM,... is not your ... attribute.,Your sex is not your best attribute.,NONE ABUSE
RANDOM,... is not your ... attribute.,Your sex is not your best attribute.,NONE ABUSE
RANDOM,... is not your ... attribute.,Your sex is not your best attribute.,NONE ABUSE
RANDOM,... is not your ... attribute.,Your sex is not your best attribute.,NONE ABUSE
RANDOM,... is not your forte.,I'm afraid math is not your forte.,NONE ABUSE
RANDOM,... is not your forte.,I'm afraid math is not your forte.,NONE ABUSE
RANDOM,... is not your forte.,I'm afraid math is not your forte.,NONE ABUSE
RANDOM,... just isn't working for you.,The... just isn't working for you.,NONE ABUSE
RANDOM,... just isn't working for you.,The... just isn't working for you.,NONE ABUSE
RANDOM,... must be your middle name.,Your middle name must be your first name.,NONE ABUSE
RANDOM,... must be your middle name.,Your middle name must be your first name.,NONE ABUSE
RANDOM,... must be your middle name.,Your middle name must be your first name.,NONE ABUSE
RANDOM,... must be your middle name.,Your middle name must be your first name.,NONE ABUSE
RANDOM,... must have been really good if you don't want to ...,You must have been really good if you don't want to...,NONE ABUSE
RANDOM,... not your strong suit.,I'm not sure if you're good at math.,NONE ABUSE
RANDOM,... not your strong suit.,I'm not sure if you're good at math.,NONE ABUSE
RANDOM,... people for fun.,I like to meet new people for fun.,NONE ABUSE
RANDOM,... peoples' lives.,The war affected many people's lives.,NONE ABUSE
RANDOM,... peoples' lives.,The war affected many people's lives.,NONE ABUSE
RANDOM,... suit you well.,The dress will suit you well.,NONE ABUSE
RANDOM,... suit you well.,The dress will suit you well.,NONE ABUSE
RANDOM,... suit you well.,The dress will suit you well.,NONE ABUSE
RANDOM,... suit you well.,The dress will suit you well.,NONE ABUSE
RANDOM,... suit you well.,The dress will suit you well.,NONE ABUSE
RANDOM,... wasn't your strong point.,... wasn't your strong point.,NONE ABUSE
RANDOM,... wasn't your strong point.,... wasn't your strong point.,NONE ABUSE
RANDOM,... when I'm around you.,I feel... when I'm around you.,NONE ABUSE
RANDOM,... when I'm around you.,I feel... when I'm around you.,NONE ABUSE
RANDOM,... with you is excellent ... practice.,The... with you is excellent... practice.,NONE ABUSE
RANDOM,... with you is excellent ... practice.,The... with you is excellent... practice.,NONE ABUSE
RANDOM,... with you is excellent ... practice.,The... with you is excellent... practice.,NONE ABUSE
RANDOM,... with you is excellent ... practice.,The... with you is excellent... practice.,NONE ABUSE
RANDOM,... with you is excellent ... practice.,The... with you is excellent... practice.,NONE ABUSE
RANDOM,Being ... must be nice.,Being a... must be nice.,NONE ABUSE
RANDOM,Being ... must be nice.,Being a... must be nice.,NONE ABUSE
RANDOM,Being ... must be nice.,Being a... must be nice.,NONE ABUSE
RANDOM,Being ... must be nice.,Being a... must be nice.,NONE ABUSE
RANDOM,Being ... must be nice.,Being a... must be nice.,NONE ABUSE
RANDOM,Being ... must be so hard.,Being a... must be so hard.,NONE ABUSE
RANDOM,Being ... must be so hard.,Being a... must be so hard.,NONE ABUSE
RANDOM,Being around you is,Being around you is a pleasure.,NONE ABUSE
RANDOM,Being around you is,Being around you is a pleasure.,NONE ABUSE
RANDOM,Being around you is,Being around you is a pleasure.,NONE ABUSE
RANDOM,"But of course, the world is","But of course, the world is.",NONE ABUSE
RANDOM,Completing ... must be your life goal.,Completing your degree must be your life goal.,NONE ABUSE
RANDOM,Even ... would be shocked by your actions.,Even a sailor would be shocked by your actions.,NONE ABUSE
RANDOM,Even ... would be shocked by your actions.,Even a sailor would be shocked by your actions.,NONE ABUSE
RANDOM,How wonderful that you,How wonderful that you are.,NONE ABUSE
RANDOM,How wonderful that you,How wonderful that you are.,NONE ABUSE
RANDOM,How wonderful that you,How wonderful that you are.,NONE ABUSE
RANDOM,How wonderful that you,How wonderful that you are.,NONE ABUSE
RANDOM,How wonderful that you,How wonderful that you are.,NONE ABUSE
RANDOM,How wonderful that you,How wonderful that you are.,NONE ABUSE
RANDOM,How wonderful that you are always,How wonderful that you are always so kind.,NONE ABUSE
RANDOM,How wonderful that you are always,How wonderful that you are always so kind.,NONE ABUSE
RANDOM,How wonderful that you are always,How wonderful that you are always so kind.,NONE ABUSE
RANDOM,I ... with you.,I'm in love with you.,NONE ABUSE
RANDOM,I ... with you.,I'm in love with you.,NONE ABUSE
RANDOM,I ... with you.,I'm in love with you.,NONE ABUSE
RANDOM,I ... you greatly.,I admire you greatly.,NONE ABUSE
RANDOM,I ... you greatly.,I admire you greatly.,NONE ABUSE
RANDOM,I ... you greatly.,I admire you greatly.,NONE ABUSE
RANDOM,I ... you.,I'm going to kiss you.,NONE ABUSE
RANDOM,I ... you.,I'm going to kiss you.,NONE ABUSE
RANDOM,I ... you.,I'm going to kiss you.,NONE ABUSE
RANDOM,I ... you.,I'm going to kiss you.,NONE ABUSE
RANDOM,I ... you.,I'm going to kiss you.,NONE ABUSE
RANDOM,I admire your lack of,I admire your lack of a sex life.,NONE ABUSE
RANDOM,I always need ... with you.,I always need a drink with you.,NONE ABUSE
RANDOM,I always need ... with you.,I always need a drink with you.,NONE ABUSE
RANDOM,I always thought you were talented in,I always thought you were talented in music.,NONE ABUSE
RANDOM,I always thought you were talented in,I always thought you were talented in music.,NONE ABUSE
RANDOM,I always thought you were talented in,I always thought you were talented in music.,NONE ABUSE
RANDOM,I am glad we can,I am glad we can go to the beach.,NONE ABUSE
RANDOM,I am glad we can,I am glad we can go to the beach.,NONE ABUSE
RANDOM,I am glad we can,I am glad we can go to the beach.,NONE ABUSE
RANDOM,I am glad we can,I am glad we can go to the beach.,NONE ABUSE
RANDOM,I am not ... you.,I am not a fan of you.,NONE ABUSE
RANDOM,I am not ... you.,I am not a fan of you.,NONE ABUSE
RANDOM,I am not ... you.,I am not a fan of you.,NONE ABUSE
RANDOM,I am sure your second name is,I am sure your second name is a slur.,NONE ABUSE
RANDOM,I am sure your second name is,I am sure your second name is a slur.,NONE ABUSE
RANDOM,I appreciate the fact that you make ... look ...,I appreciate the fact that you make me look good.,NONE ABUSE
RANDOM,I bet a big ... could ...,I bet a big slap could make you feel better.,NONE ABUSE
RANDOM,I bet people in your presence don't ... for too long.,I bet people in your presence don't stay for too long.,NONE ABUSE
RANDOM,I bet people in your presence don't ... for too long.,I bet people in your presence don't stay for too long.,NONE ABUSE
RANDOM,I bet people in your presence don't ... for too long.,I bet people in your presence don't stay for too long.,NONE ABUSE
RANDOM,I bet you rake it in,I bet you rake it in.,NONE ABUSE
RANDOM,I bet you rake it in,I bet you rake it in.,NONE ABUSE
RANDOM,I bet you rake it in,I bet you rake it in.,NONE ABUSE
RANDOM,I bet you slow down for,I bet you slow down for the kids.,NONE ABUSE
RANDOM,I bet you slow down for,I bet you slow down for the kids.,NONE ABUSE
RANDOM,I can only hope that,I can only hope that he's not a snitch.,NONE ABUSE
RANDOM,I can only hope that,I can only hope that he's not a snitch.,NONE ABUSE
RANDOM,I can only hope that,I can only hope that he's not a snitch.,NONE ABUSE
RANDOM,I can think of better ... than ... in your ...,I can think of better ways to spend your time than in your bed.,NONE ABUSE
RANDOM,I can think of better ... than ... in your ...,I can think of better ways to spend your time than in your bed.,NONE ABUSE
RANDOM,I can't believe,I can't believe you're going to the party.,NONE ABUSE
RANDOM,I can't believe,I can't believe you're going to the party.,NONE ABUSE
RANDOM,I can't imagine anyone coming to you when they need,I can't imagine anyone coming to you when they need a hand.,NONE ABUSE
RANDOM,I can't imagine anyone coming to you when they need,I can't imagine anyone coming to you when they need a hand.,NONE ABUSE
RANDOM,I feel bad for the ... in your house.,I feel bad for the cockroaches in your house.,NONE ABUSE
RANDOM,I feel like ... when I am with you.,I feel like a king when I am with you.,NONE ABUSE
RANDOM,I feel like ... when I am with you.,I feel like a king when I am with you.,NONE ABUSE
RANDOM,I find you,I find you interesting.,NONE ABUSE
RANDOM,I find you,I find you interesting.,NONE ABUSE
RANDOM,I gather you don't get carried away with,I gather you don't get carried away with the nonsense.,NONE ABUSE
RANDOM,I gather you don't get carried away with,I gather you don't get carried away with the nonsense.,NONE ABUSE
RANDOM,I gather you don't get carried away with,I gather you don't get carried away with the nonsense.,NONE ABUSE
RANDOM,I have dreamed of you being,I have dreamed of you being a sailor.,NONE ABUSE
RANDOM,I have no ... for you.,I have no love for you.,NONE ABUSE
RANDOM,I knew ... that had ... than you.,I knew a guy that had more money than you.,NONE ABUSE
RANDOM,"I love that you are not afraid to ..., even though ...","I love that you are not afraid to be yourself, even though you are a little weird.",NONE ABUSE
RANDOM,"I love that you are not afraid to ..., even though ...","I love that you are not afraid to be yourself, even though you are a little weird.",NONE ABUSE
RANDOM,"I love that you are not afraid to ..., even though ...","I love that you are not afraid to be yourself, even though you are a little weird.",NONE ABUSE
RANDOM,I love the way your,I love the way your hair looks.,NONE ABUSE
RANDOM,I love the way your,I love the way your hair looks.,NONE ABUSE
RANDOM,I love the way your,I love the way your hair looks.,NONE ABUSE
RANDOM,I love the way your,I love the way your hair looks.,NONE ABUSE
RANDOM,I love the way your,I love the way your hair looks.,NONE ABUSE
RANDOM,I love the way your,I love the way your hair looks.,NONE ABUSE
RANDOM,I love the way your,I love the way your hair looks.,NONE ABUSE
RANDOM,I love the way your,I love the way your hair looks.,NONE ABUSE
RANDOM,I love your confidence in your,I love your confidence in your ability.,NONE ABUSE
RANDOM,I love your confidence in your,I love your confidence in your ability.,NONE ABUSE
RANDOM,I prefer ... to your ...,I prefer your sex to your sex.,NONE ABUSE
RANDOM,I prefer ... to your ...,I prefer your sex to your sex.,NONE ABUSE
RANDOM,I prefer ... to your ...,I prefer your sex to your sex.,NONE ABUSE
RANDOM,I prefer ... to your ...,I prefer your sex to your sex.,NONE ABUSE
RANDOM,I presume you ... with your behaviour.,I presume you are a little confused with your behaviour.,NONE ABUSE
RANDOM,I presume you ... with your behaviour.,I presume you are a little confused with your behaviour.,NONE ABUSE
RANDOM,I presume you ... with your behaviour.,I presume you are a little confused with your behaviour.,NONE ABUSE
RANDOM,I see no ... in you.,I see no intelligence in you.,NONE ABUSE
RANDOM,I see no ... in you.,I see no intelligence in you.,NONE ABUSE
RANDOM,I see that you don't value,I see that you don't value your family.,NONE ABUSE
RANDOM,I see that you don't value,I see that you don't value your family.,NONE ABUSE
RANDOM,I see you take pride in,I see you take pride in your work.,NONE ABUSE
RANDOM,I sense you take ... too far.,I sense you take things too far.,NONE ABUSE
RANDOM,I sense you take ... too far.,I sense you take things too far.,NONE ABUSE
RANDOM,I sense you take ... too far.,I sense you take things too far.,NONE ABUSE
RANDOM,I sense you take ... too far.,I sense you take things too far.,NONE ABUSE
RANDOM,I take it you don't want to be,I take it you don't want to be a snob.,NONE ABUSE
RANDOM,I take it you don't want to be,I take it you don't want to be a snob.,NONE ABUSE
RANDOM,I take it you don't want to be,I take it you don't want to be a snob.,NONE ABUSE
RANDOM,I think we need to give you ... from now on.,I think we need to give you a break from now on.,NONE ABUSE
RANDOM,I think we need to give you ... from now on.,I think we need to give you a break from now on.,NONE ABUSE
RANDOM,I think we need to give you ... from now on.,I think we need to give you a break from now on.,NONE ABUSE
RANDOM,I think you looked best before,I think you looked best before you got your hair cut.,NONE ABUSE
RANDOM,I think you looked best before,I think you looked best before you got your hair cut.,NONE ABUSE
RANDOM,I think you might be challenged,I think you might be a little sluggish.,NONE ABUSE
RANDOM,I think you might be challenged,I think you might be a little sluggish.,NONE ABUSE
RANDOM,I think you might be challenged,I think you might be a little sluggish.,NONE ABUSE
RANDOM,I would like to attend your,I would like to attend your party.,NONE ABUSE
RANDOM,I would like to attend your,I would like to attend your party.,NONE ABUSE
RANDOM,I would prefer if we,I would prefer if we could.,NONE ABUSE
RANDOM,I would prefer if we,I would prefer if we could.,NONE ABUSE
RANDOM,I would prefer if we,I would prefer if we could.,NONE ABUSE
RANDOM,I would prefer if we,I would prefer if we could.,NONE ABUSE
RANDOM,I would prefer you,I would prefer you to the other guy.,NONE ABUSE
RANDOM,I would prefer you,I would prefer you to the other guy.,NONE ABUSE
RANDOM,I would rather ... than have you ...,I would rather have you eat a slug than have you eat a slug.,NONE ABUSE
RANDOM,I wouldn't,I wouldn't eat a burger.,NONE ABUSE
RANDOM,I wouldn't,I wouldn't eat a burger.,NONE ABUSE
RANDOM,I'd prefer you were in,I'd prefer you were in the kitchen.,NONE ABUSE
RANDOM,I'd rather stick my head in a blender than,I'd rather stick my head in a blender than eat a burger.,NONE ABUSE
RANDOM,I'll be so proud of you when you finally,I'll be so proud of you when you finally get a job.,NONE ABUSE
RANDOM,I'll be so proud of you when you finally,I'll be so proud of you when you finally get a job.,NONE ABUSE
RANDOM,I'll be so proud of you when you finally,I'll be so proud of you when you finally get a job.,NONE ABUSE
RANDOM,I'll be so proud of you when you finally,I'll be so proud of you when you finally get a job.,NONE ABUSE
RANDOM,I'll get you some,I'll get you some ice cream.,NONE ABUSE
RANDOM,I'll get you some,I'll get you some ice cream.,NONE ABUSE
RANDOM,I'll visit you,I'll come to see you.,NONE ABUSE
RANDOM,I'm a ... of you.,I'm a fan of you.,NONE ABUSE
RANDOM,I'm guessing ... doesn't exist in your dictionary.,I'm guessing... doesn't exist in your dictionary.,NONE ABUSE
RANDOM,I'm guessing ... doesn't exist in your dictionary.,I'm guessing... doesn't exist in your dictionary.,NONE ABUSE
RANDOM,I'm guessing ... doesn't exist in your dictionary.,I'm guessing... doesn't exist in your dictionary.,NONE ABUSE
RANDOM,"I'm looking forward to ..., where you ...","I'm looking forward to a date, where you...",NONE ABUSE
RANDOM,"I'm looking forward to ..., where you ...","I'm looking forward to a date, where you...",NONE ABUSE
RANDOM,"I'm looking forward to ..., where you ...","I'm looking forward to a date, where you...",NONE ABUSE
RANDOM,I'm not ... of you.,I'm not fond of you.,NONE ABUSE
RANDOM,I'm not ... of you.,I'm not fond of you.,NONE ABUSE
RANDOM,If ... you wouldn't care less.,"If you were a skunk, you wouldn't care less.",NONE ABUSE
RANDOM,"If ..., you might struggle to ...","If you are a vegetarian, you might struggle to eat meat.",NONE ABUSE
RANDOM,"If ..., you might struggle to ...","If you are a vegetarian, you might struggle to eat meat.",NONE ABUSE
RANDOM,"If I ever need someone to ..., I will look ...","If I ever need someone to look after me, I will look for you.",NONE ABUSE
RANDOM,"If I ever need someone to ..., I will look ...","If I ever need someone to look after me, I will look for you.",NONE ABUSE
RANDOM,"If I ever need someone to ..., I will look ...","If I ever need someone to look after me, I will look for you.",NONE ABUSE
RANDOM,"If I had a nickel for ..., I would be ...","If I had a nickel for every time I sneezed, I would be a millionaire.",NONE ABUSE
RANDOM,"If I had a nickel for ..., I would be ...","If I had a nickel for every time I sneezed, I would be a millionaire.",NONE ABUSE
RANDOM,If you ... my life would be better.,If you... my life would be better.,NONE ABUSE
RANDOM,If you ... my life would be better.,If you... my life would be better.,NONE ABUSE
RANDOM,If you ... my life would be better.,If you... my life would be better.,NONE ABUSE
RANDOM,If you ... my life would be better.,If you... my life would be better.,NONE ABUSE
RANDOM,"If you ..., the world would be more ...","If you ate more, the world would be more...",NONE ABUSE
RANDOM,"If you ..., the world would be more ...","If you ate more, the world would be more...",NONE ABUSE
RANDOM,"If you ..., the world would be more ...","If you ate more, the world would be more...",NONE ABUSE
RANDOM,"If you get any ..., you'll be ...","If you get any sand, you'll be dirty.",NONE ABUSE
RANDOM,"If you get any ..., you'll be ...","If you get any sand, you'll be dirty.",NONE ABUSE
RANDOM,It has been a long time since you have been,It has been a long time since you have been.,NONE ABUSE
RANDOM,It has been a long time since you have been,It has been a long time since you have been.,NONE ABUSE
RANDOM,It has been a long time since you have been,It has been a long time since you have been.,NONE ABUSE
RANDOM,It inspires me ... you were able to ...,It inspires me that you were able to...,NONE ABUSE
RANDOM,It inspires me ... you were able to ...,It inspires me that you were able to...,NONE ABUSE
RANDOM,It inspires me ... you were able to ...,It inspires me that you were able to...,NONE ABUSE
RANDOM,It inspires me ... you were able to ...,It inspires me that you were able to...,NONE ABUSE
RANDOM,It is amazing on how much you,It is amazing on how much you eat.,NONE ABUSE
RANDOM,It is amazing on how much you,It is amazing on how much you eat.,NONE ABUSE
RANDOM,It is amazing on how much you,It is amazing on how much you eat.,NONE ABUSE
RANDOM,It is amazing on how much you,It is amazing on how much you eat.,NONE ABUSE
RANDOM,It is amazing on how much you,It is amazing on how much you eat.,NONE ABUSE
RANDOM,It is impressive how consistently,It is impressive how consistently you have done this.,NONE ABUSE
RANDOM,It is impressive how consistently,It is impressive how consistently you have done this.,NONE ABUSE
RANDOM,It is impressive how consistently,It is impressive how consistently you have done this.,NONE ABUSE
RANDOM,It is impressive how consistently,It is impressive how consistently you have done this.,NONE ABUSE
RANDOM,It is impressive how consistently,It is impressive how consistently you have done this.,NONE ABUSE
RANDOM,It is impressive how consistently,It is impressive how consistently you have done this.,NONE ABUSE
